" init.Values"," HLW"
" a_y1            ",1.34619068959456,1.55052834863733
" a_y2            ",-0.361958430569289,-0.551271716984079
" b_pi            ",0.509315391492567,0.511043951674498
" b_y             ",0.025,0.025
" gama            ",0.85,0.823153711942046
" sigma_y~        ",0.783051088975894,0.548679981294618
" sigma_pi        ",1.39670833487221,1.40675169774043
" sigma_y*        ",0.5,0.52087437006323
" Log-Likelihood  ",-706.240602835815,-694.216132077484
" Lambda.g        ",0,0.0513108524712996
