" init.Values","HLW-replicated","S3_MLE.g","S3_MLE.M0g","S3_MLE.gz"
" a_y1              ",1.34264148917466,1.51607878396346,1.50610765667031,1.50339831595938,1.50339831348788
" a_y2              ",-0.35585850333132,-0.56686382217429,-0.558814496857821,-0.557015288662202,-0.557015285280034
" a_r               ",-0.0182470577101712,-0.0662056036441128,-0.0664495183291923,-0.0645451184240567,-0.0645451181026523
" b_pi              ",0.509315391492567,0.499060775236854,0.498441932990316,0.496357432113061,0.496357418332103
" b_y               ",0.025,0.0522133388340646,0.0542186105028174,0.0609360363579647,0.0609360361790099
" sigma_y~          ",0.784356878532577,0.39354844514105,0.40212281003553,0.409179007262488,0.409179010569983
" sigma_pi          ",1.39670833487221,1.38253181550174,1.38207523754526,1.38055866354646,1.38055869338188
" sigma_y*          ",0.7,0.584177404169647,0.576322532927727,0.572009598116918,0.572009597338046
" sigma_g(implied)  ",NA,0.0299746406024155,0.0334405003976228,0.0336629677120561,0.0336629670151619
" sigma_z(implied)  ",NA,0.0969738435758664,0.0987229284740186,0.103419182498598,0.00000000578652010283155
" Log-Likelihood    ",-710.205530786884,-680.252124174517,-680.204860377146,-680.003457177385,-680.003457177386
" Lambda.g(implied) ",NA,0.0513108524712996,0.0580239336257505,0.0588503546494257,0.0588503535112328
" Lambda.z(implied) ",NA,0.0163136506595242,0.0163136506595242,0,0.000000000912782947786991
