" init.Values"," HLW"
" a_y1            ",1.451693962495,1.6539679127635
" a_y2            ",-0.466443442800533,-0.661537052106932
" b_pi            ",0.720478534038033,0.722989192527746
" b_y             ",0.025,0.025
" gama            ",0.85,0.518330644583696
" sigma_y~        ",0.546805390192925,0.383620608552903
" sigma_pi        ",0.997693657224448,0.998509159227672
" sigma_y*        ",0.5,0.346502373043298
" Log-Likelihood  ",-484.265637698586,-429.049888847704
" Lambda.g        ",0,0.035383700714987
