" init.Values"," HLW"
" a_y1            ",1.0965128938436,1.87886246571741
" a_y2            ",-0.121169751836251,-0.983238381583573
" b_pi            ",0.610123280755896,0.602953923553215
" b_y             ",0.0988112831099533,0.724066666894832
" gama            ",0.85,0.580765575949909
" sigma_y~        ",0.915894726058331,-0.000000000623456869737062
" sigma_pi        ",2.67533337437225,2.65562721663995
" sigma_y*        ",0.5,0.896349306773858
" Log-Likelihood  ",-911.727466973318,-875.984433380578
" Lambda.g        ",0,0.0237426447293868
