" init.Values","HLW-replicated","S3_MLE.g","S3_MLE.M0g","S3_MLE.gz"
" a_y1              ",1.08849868113317,1.86610365000061,1.86631757672946,1.8595436421065,1.85954362659358
" a_y2              ",-0.117773311158159,-0.954368848440841,-0.954716329222831,-0.945218718088722,-0.945218692887381
" a_r               ",-0.0025,-0.00710513041630713,-0.00701416865172135,-0.00806411501143374,-0.00806411917415729
" b_pi              ",0.610123280755896,0.59266882074696,0.592610061156638,0.59271991920019,0.592719938043883
" b_y               ",0.0988112831099533,0.568632262598588,0.570074031937643,0.550555465641478,0.550555253222502
" sigma_y~          ",0.917916083533314,0.090580936785171,0.0901715354530514,0.102694560685883,0.102694596021051
" sigma_pi          ",2.67533337437225,2.64007048129568,2.64000452355894,2.6400931162201,2.64009312972355
" sigma_y*          ",0.7,0.86136818603783,0.862522924013248,0.858289584299983,0.858289574367948
" sigma_g(implied)  ",NA,0.0204511588222926,0.0180140307265172,0.0181707352714908,0.018170735503598
" sigma_z(implied)  ",NA,0.246143944139549,0.248209078567864,0.245875428440198,0.000000267394344069363
" Log-Likelihood    ",-897.106900171899,-877.978969683329,-877.971146335747,-877.775228744775,-877.77522874477
" Lambda.g(implied) ",NA,0.0237426447293868,0.0208852776256651,0.0211708677395996,0.0211708682550165
" Lambda.z(implied) ",NA,0.0193074269969575,0.0193074269969575,0,0.0000000209972086226323
