" init.Values"," HLW"
" a_y1            ",1.3070378544647,1.51745053337873
" a_y2            ",-0.32731823717422,-0.531666834891699
" b_pi            ",0.72009195873183,0.713530704122922
" b_y             ",0.025,0.025
" gama            ",0.85,0.76655241257569
" sigma_y~        ",0.7494955696458,0.502105669424274
" sigma_pi        ",0.809177673290344,0.802263947302369
" sigma_y*        ",0.5,0.528441545345303
" Log-Likelihood  ",-564.387226536231,-552.755354238896
" Lambda.g        ",0,0.0535600744632313
