" init.Values","HLW-replicated","S3_MLE.g","S3_MLE.M0g","S3_MLE.gz"
" a_y1              ",1.30615574829438,1.53991114396497,1.51182915611834,1.51796245378692,1.51804528101032
" a_y2              ",-0.321306005156353,-0.598555745050634,-0.572068321773412,-0.578390558896544,-0.578469484693906
" a_r               ",-0.0260477563783587,-0.0678696408187454,-0.0749448325699683,-0.0695526772235428,-0.0694122372391153
" b_pi              ",0.72009195873183,0.670838033306645,0.67386290047853,0.671827594837122,0.67187991128773
" b_y               ",0.025,0.0785926485240751,0.0755752499135837,0.0798425565538814,0.0798505144052224
" sigma_y~          ",0.749926863029771,0.333786931019081,0.334005888685828,0.345018472444809,0.345357593121802
" sigma_pi          ",0.809177673290344,0.786202846608095,0.787304406708838,0.786698308887599,0.786723655163026
" sigma_y*          ",0.7,0.573909677531672,0.565827159193321,0.561808668552844,0.561677841061697
" sigma_g(implied)  ",NA,0.0307386450637654,0.0452678383583723,0.0439535222722116,0.0439160181712572
" sigma_z(implied)  ",NA,0.174172625197482,0.157833268454235,0.175676882740463,0.0623700413617909
" Log-Likelihood    ",-573.370183992184,-536.483771599017,-536.272195982036,-535.977604427631,-535.977180055462
" Lambda.g(implied) ",NA,0.0535600744632313,0.0800029436955784,0.0782357495220409,0.0781872008485257
" Lambda.z(implied) ",NA,0.0354149081766635,0.0354149081766635,0.0132300525495991,0.0125355405349122
