Title:               Gross Domestic Product in Canada (DISCONTINUED)
Series ID:           CANRGDPQDSNAQ
Source:              Organization for Economic Co-operation and Development
Release:             Quarterly National Accounts (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Millions of Chained 2002 Canadian Dollars
Date Range:          1961-01-01 to 2012-01-01
Last Updated:        2012-10-29 9:16 AM CDT
Notes:               Copyright, 2016, OECD. Reprinted with permission.
                     
                     All OECD data should be cited as follows: OECD (2010), OECD National
                     Accounts Statistics, http://dx.doi.org/10.1787/na-data-en, (accessed
                     on date)

DATE          VALUE
1961-01-01   255496
1961-04-01   262309
1961-07-01   268290
1961-10-01   271803
1962-01-01   278091
1962-04-01   279910
1962-07-01   283841
1962-10-01   290044
1963-01-01   291641
1963-04-01   295363
1963-07-01   297529
1963-10-01   307423
1964-01-01   314391
1964-04-01   315112
1964-07-01   318718
1964-10-01   320911
1965-01-01   330525
1965-04-01   333638
1965-07-01   338485
1965-10-01   347299
1966-01-01   353676
1966-04-01   360542
1966-07-01   360484
1966-10-01   364949
1967-01-01   363486
1967-04-01   371059
1967-07-01   372936
1967-10-01   374141
1968-01-01   376489
1968-04-01   386712
1968-07-01   392551
1968-10-01   398172
1969-01-01   402873
1969-04-01   404647
1969-07-01   409138
1969-10-01   415475
1970-01-01   417957
1970-04-01   418375
1970-07-01   422101
1970-10-01   423160
1971-01-01   420732
1971-04-01   433552
1971-07-01   445599
1971-10-01   450953
1972-01-01   448845
1972-04-01   461804
1972-07-01   461919
1972-10-01   473615
1973-01-01   486556
1973-04-01   491558
1973-07-01   493253
1973-10-01   503387
1974-01-01   508337
1974-04-01   512401
1974-07-01   512473
1974-10-01   514434
1975-01-01   513513
1975-04-01   517462
1975-07-01   524853
1975-10-01   529144
1976-01-01   538678
1976-04-01   549791
1976-07-01   552122
1976-10-01   552784
1977-01-01   561803
1977-04-01   564324
1977-07-01   567015
1977-10-01   576086
1978-01-01   582583
1978-04-01   586981
1978-07-01   591966
1978-10-01   597414
1979-01-01   603199
1979-04-01   611071
1979-07-01   615326
1979-10-01   619102
1980-01-01   624794
1980-04-01   623433
1980-07-01   623215
1980-10-01   630215
1981-01-01   645957
1981-04-01   651954
1981-07-01   647351
1981-10-01   644030
1982-01-01   637721
1982-04-01   631494
1982-07-01   625933
1982-10-01   620116
1983-01-01   629676
1983-04-01   644156
1983-07-01   650958
1983-10-01   658832
1984-01-01   670403
1984-04-01   682008
1984-07-01   684910
1984-10-01   696525
1985-01-01   706112
1985-04-01   708095
1985-07-01   719063
1985-10-01   731258
1986-01-01   728739
1986-04-01   735118
1986-07-01   737068
1986-10-01   732947
1987-01-01   748899
1987-04-01   758202
1987-07-01   770615
1987-10-01   780940
1988-01-01   792899
1988-04-01   802215
1988-07-01   804449
1988-10-01   811244
1989-01-01   819827
1989-04-01   823547
1989-07-01   825195
1989-10-01   826342
1990-01-01   832320
1990-04-01   828846
1990-07-01   823527
1990-10-01   816578
1991-01-01   804257
1991-04-01   806395
1991-07-01   809283
1991-10-01   812268
1992-01-01   811082
1992-04-01   813393
1992-07-01   816441
1992-10-01   819574
1993-01-01   825643
1993-04-01   831011
1993-07-01   836239
1993-10-01   843845
1994-01-01   856541
1994-04-01   869369
1994-07-01   881611
1994-10-01   889523
1995-01-01   897751
1995-04-01   897729
1995-07-01   897906
1995-10-01   901870
1996-01-01   903033
1996-04-01   906638
1996-07-01   917328
1996-10-01   926458
1997-01-01   935478
1997-04-01   946273
1997-07-01   958906
1997-10-01   967189
1998-01-01   979541
1998-04-01   982093
1998-07-01   992920
1998-10-01  1009317
1999-01-01  1025120
1999-04-01  1037096
1999-07-01  1051784
1999-10-01  1069144
2000-01-01  1083729
2000-04-01  1096017
2000-07-01  1109684
2000-10-01  1112630
2001-01-01  1117387
2001-04-01  1118999
2001-07-01  1117315
2001-10-01  1126881
2002-01-01  1140589
2002-04-01  1147293
2002-07-01  1157542
2002-10-01  1166196
2003-01-01  1171246
2003-04-01  1169756
2003-07-01  1173426
2003-10-01  1183941
2004-01-01  1192066
2004-04-01  1206213
2004-07-01  1219184
2004-10-01  1227492
2005-01-01  1231661
2005-04-01  1240613
2005-07-01  1253279
2005-10-01  1265676
2006-01-01  1279451
2006-04-01  1280772
2006-07-01  1282225
2006-10-01  1289685
2007-01-01  1298062
2007-04-01  1308614
2007-07-01  1315891
2007-10-01  1322473
2008-01-01  1320535
2008-04-01  1322383
2008-07-01  1325200
2008-10-01  1313046
2009-01-01  1286175
2009-04-01  1274111
2009-07-01  1279479
2009-10-01  1295124
2010-01-01  1312845
2010-04-01  1320294
2010-07-01  1328350
2010-10-01  1338481
2011-01-01  1350388
2011-04-01  1347030
2011-07-01  1361865
2011-10-01  1368183
2012-01-01  1374614
