Title:               Personal Consumption Expenditures: Chain-type Price Index
Series ID:           PCECTPI
Source:              U.S. Bureau of Economic Analysis
Release:             Gross Domestic Product
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Index 2012=100
Date Range:          1947-01-01 to 2020-01-01
Last Updated:        2020-05-28 8:07 AM CDT
Notes:               BEA Account Code: DPCERG
                     
                     A Guide to the National Income and Product Accounts of the United
                     States (NIPA) - (http://www.bea.gov/national/pdf/nipaguid.pdf)

DATE          VALUE
1947-01-01   12.250
1947-04-01   12.348
1947-07-01   12.578
1947-10-01   12.891
1948-01-01   13.034
1948-04-01   13.169
1948-07-01   13.370
1948-10-01   13.328
1949-01-01   13.223
1949-04-01   13.142
1949-07-01   13.066
1949-10-01   13.056
1950-01-01   13.034
1950-04-01   13.097
1950-07-01   13.371
1950-10-01   13.609
1951-01-01   14.041
1951-04-01   14.154
1951-07-01   14.173
1951-10-01   14.361
1952-01-01   14.422
1952-04-01   14.419
1952-07-01   14.513
1952-10-01   14.537
1953-01-01   14.592
1953-04-01   14.613
1953-07-01   14.692
1953-10-01   14.756
1954-01-01   14.830
1954-04-01   14.810
1954-07-01   14.761
1954-10-01   14.746
1955-01-01   14.794
1955-04-01   14.809
1955-07-01   14.867
1955-10-01   14.908
1956-01-01   14.969
1956-04-01   15.069
1956-07-01   15.216
1956-10-01   15.306
1957-01-01   15.443
1957-04-01   15.541
1957-07-01   15.668
1957-10-01   15.749
1958-01-01   15.943
1958-04-01   15.972
1958-07-01   15.984
1958-10-01   15.978
1959-01-01   16.087
1959-04-01   16.153
1959-07-01   16.250
1959-10-01   16.339
1960-01-01   16.360
1960-04-01   16.446
1960-07-01   16.507
1960-10-01   16.580
1961-01-01   16.611
1961-04-01   16.609
1961-07-01   16.669
1961-10-01   16.687
1962-01-01   16.759
1962-04-01   16.819
1962-07-01   16.863
1962-10-01   16.915
1963-01-01   16.964
1963-04-01   16.990
1963-07-01   17.072
1963-10-01   17.136
1964-01-01   17.216
1964-04-01   17.254
1964-07-01   17.311
1964-10-01   17.368
1965-01-01   17.424
1965-04-01   17.512
1965-07-01   17.578
1965-10-01   17.631
1966-01-01   17.768
1966-04-01   17.912
1966-07-01   18.049
1966-10-01   18.188
1967-01-01   18.241
1967-04-01   18.328
1967-07-01   18.498
1967-10-01   18.657
1968-01-01   18.856
1968-04-01   19.049
1968-07-01   19.246
1968-10-01   19.459
1969-01-01   19.648
1969-04-01   19.898
1969-07-01   20.141
1969-10-01   20.374
1970-01-01   20.610
1970-04-01   20.838
1970-07-01   21.041
1970-10-01   21.314
1971-01-01   21.516
1971-04-01   21.761
1971-07-01   21.975
1971-10-01   22.111
1972-01-01   22.344
1972-04-01   22.473
1972-07-01   22.671
1972-10-01   22.855
1973-01-01   23.131
1973-04-01   23.576
