Title:               Bank of England Policy Rate in the United Kingdom
Series ID:           BOERUKQ
Source:              Bank of England
Release:             A Millennium of Macroeconomic Data for the UK (Not a Press Release)
Seasonal Adjustment: Not Seasonally Adjusted
Frequency:           Quarterly
Units:               Percent per Annum
Date Range:          1695-01-01 to 2016-10-01
Last Updated:        2018-03-12 7:51 AM CDT
Notes:               Quarterly average. This series was constructed by the Bank of England
                     as part of the Three Centuries of Macroeconomic Data project by
                     combining data from a number of academic and official sources. For
                     more information, please refer to the Three Centuries spreadsheet at
                     https://www.bankofengland.co.uk/statistics/research-datasets. Users
                     are advised to check the underlying assumptions behind this series in
                     the relevant worksheets of the spreadsheet. In many cases alternative
                     assumptions might be appropriate. Users are permitted to reproduce
                     this series in their own work as it represents Bank calculations and
                     manipulations of underlying series that are the copyright of the Bank
                     of England provided that underlying sources are cited appropriately.
                     For appropriate citation please see the Three Centuries spreadsheet
                     for guidance and a list of the underlying sources.

DATE        VALUE
1695-01-01   4.50
1695-04-01   4.00
1695-07-01   3.00
1695-10-01   3.00
1696-01-01   3.00
1696-04-01   3.00
1696-07-01   3.00
1696-10-01   3.00
1697-01-01   3.00
1697-04-01   3.00
1697-07-01   3.00
1697-10-01   3.00
1698-01-01   3.00
1698-04-01   3.00
1698-07-01   3.00
1698-10-01   3.00
1699-01-01   3.00
1699-04-01   3.00
1699-07-01   4.50
1699-10-01   4.50
1700-01-01   4.50
1700-04-01   4.50
1700-07-01   4.50
1700-10-01   4.50
1701-01-01   4.50
1701-04-01   4.50
1701-07-01   4.50
1701-10-01   4.50
1702-01-01   4.50
1702-04-01   4.50
1702-07-01   4.50
1702-10-01   4.50
1703-01-01   4.50
1703-04-01   4.50
1703-07-01   4.50
1703-10-01   4.50
1704-01-01   4.50
1704-04-01   4.50
1704-07-01   4.50
1704-10-01   4.50
1705-01-01   4.50
1705-04-01   4.50
1705-07-01   4.50
1705-10-01   4.50
1706-01-01   4.50
1706-04-01   4.50
1706-07-01   4.50
1706-10-01   4.50
1707-01-01   4.50
1707-04-01   4.50
1707-07-01   4.50
1707-10-01   4.50
1708-01-01   4.50
1708-04-01   4.50
1708-07-01   4.50
1708-10-01   4.50
1709-01-01   4.50
1709-04-01   4.50
1709-07-01   4.50
1709-10-01   4.50
1710-01-01   4.50
1710-04-01   4.50
1710-07-01   4.50
1710-10-01   4.50
1711-01-01   4.50
1711-04-01   4.50
1711-07-01   4.50
1711-10-01   4.50
1712-01-01   4.50
1712-04-01   4.50
1712-07-01   4.50
1712-10-01   4.50
1713-01-01   4.50
1713-04-01   4.50
1713-07-01   4.50
1713-10-01   4.50
1714-01-01   4.50
1714-04-01   4.50
1714-07-01   4.50
1714-10-01   4.50
1715-01-01   4.50
1715-04-01   4.50
1715-07-01   4.50
1715-10-01   4.50
1716-01-01   4.50
1716-04-01   4.50
1716-07-01   4.17
1716-10-01   4.00
1717-01-01   4.00
1717-04-01   4.00
1717-07-01   4.00
1717-10-01   4.00
1718-01-01   4.00
1718-04-01   4.00
1718-07-01   4.00
1718-10-01   4.00
1719-01-01   4.00
1719-04-01   4.67
1719-07-01   5.00
1719-10-01   5.00
1720-01-01   5.00
1720-04-01   5.00
1720-07-01   5.00
1720-10-01   5.00
1721-01-01   5.00
1721-04-01   5.00
1721-07-01   5.00
1721-10-01   5.00
1722-01-01   5.00
1722-04-01   5.00
1722-07-01   5.00
1722-10-01   5.00
1723-01-01   5.00
1723-04-01   5.00
1723-07-01   5.00
1723-10-01   5.00
1724-01-01   5.00
1724-04-01   5.00
1724-07-01   5.00
1724-10-01   5.00
1725-01-01   5.00
1725-04-01   5.00
1725-07-01   5.00
