Title:               Gross Domestic Product in the United Kingdom
Series ID:           GBRRGDPQDSNAQ
Source:              Organization for Economic Co-operation and Development
Release:             Quarterly National Accounts (Not a Press Release)
Seasonal Adjustment: Seasonally Adjusted
Frequency:           Quarterly
Units:               Chained 2015 British Pounds
Date Range:          1955-01-01 to 2019-10-01
Last Updated:        2020-04-01 7:08 AM CDT
Notes:               Copyright, 2016, OECD. Reprinted with permission.
                     
                     All OECD data should be cited as follows: OECD (2010), OECD National
                     Accounts Statistics, http://dx.doi.org/10.1787/na-data-en, (accessed
                     on date)

DATE                VALUE
1955-01-01   112194000000
1955-04-01   112267000000
1955-07-01   114538000000
1955-10-01   113938000000
1956-01-01   115274000000
1956-04-01   115024000000
1956-07-01   114890000000
1956-10-01   115429000000
1957-01-01   117738000000
1957-04-01   117750000000
1957-07-01   117027000000
1957-10-01   117259000000
1958-01-01   119840000000
1958-04-01   116992000000
1958-07-01   119595000000
1958-10-01   119718000000
1959-01-01   120416000000
1959-04-01   122381000000
1959-07-01   125013000000
1959-10-01   128181000000
1960-01-01   131400000000
1960-04-01   130435000000
1960-07-01   132409000000
1960-10-01   133240000000
1961-01-01   135394000000
1961-04-01   135986000000
1961-07-01   135294000000
1961-10-01   135059000000
1962-01-01   135647000000
1962-04-01   136963000000
1962-07-01   137781000000
1962-10-01   137294000000
1963-01-01   137923000000
1963-04-01   143904000000
1963-07-01   144585000000
1963-10-01   147888000000
1964-01-01   148759000000
1964-04-01   151393000000
1964-07-01   151995000000
1964-10-01   154284000000
1965-01-01   153863000000
1965-04-01   153987000000
1965-07-01   155273000000
1965-10-01   156227000000
1966-01-01   156492000000
1966-04-01   157416000000
1966-07-01   157905000000
1966-10-01   157245000000
1967-01-01   159377000000
1967-04-01   161621000000
1967-07-01   162361000000
1967-10-01   163160000000
1968-01-01   169136000000
1968-04-01   168472000000
1968-07-01   171819000000
1968-10-01   172474000000
1969-01-01   172081000000
1969-04-01   173422000000
1969-07-01   174387000000
1969-10-01   175234000000
1970-01-01   174113000000
1970-04-01   178241000000
1970-07-01   180018000000
1970-10-01   181580000000
1971-01-01   180543000000
1971-04-01   183754000000
1971-07-01   186988000000
1971-10-01   187689000000
1972-01-01   187959000000
1972-04-01   192942000000
1972-07-01   193487000000
1972-10-01   196522000000
1973-01-01   206302000000
1973-04-01   206567000000
1973-07-01   204608000000
1973-10-01   203726000000
1974-01-01   198147000000
1974-04-01   200999000000
1974-07-01   202289000000
1974-10-01   199366000000
1975-01-01   199482000000
1975-04-01   196206000000
1975-07-01   195535000000
1975-10-01   197777000000
1976-01-01   200907000000
1976-04-01   200575000000
1976-07-01   203086000000
1976-10-01   207394000000
1977-01-01   207453000000
1977-04-01   206012000000
1977-07-01   207447000000
1977-10-01   211006000000
1978-01-01   212888000000
1978-04-01   215368000000
1978-07-01   218329000000
1978-10-01   220309000000
1979-01-01   219527000000
1979-04-01   229224000000
1979-07-01   224136000000
1979-10-01   226507000000
1980-01-01   224357000000
1980-04-01   219869000000
1980-07-01   219652000000
1980-10-01   217246000000
1981-01-01   216973000000
1981-04-01   217417000000
1981-07-01   219759000000
1981-10-01   220034000000
1982-01-01   220462000000
1982-04-01   222812000000
1982-07-01   223389000000
1982-10-01   224959000000
1983-01-01   229078000000
1983-04-01   231037000000
1983-07-01   233566000000
1983-10-01   235584000000
1984-01-01   237215000000
1984-04-01   235138000000
1984-07-01   236659000000
1984-10-01   241339000000
1985-01-01   243318000000
1985-04-01   248471000000
1985-07-01   248688000000
1985-10-01   249289000000
1986-01-01   252116000000
1986-04-01   253987000000
1986-07-01   255143000000
1986-10-01   259701000000
1987-01-01   262115000000
1987-04-01   265960000000
1987-07-01   272422000000
1987-10-01   275507000000
1988-01-01   280417000000
1988-04-01   282070000000
1988-07-01   286366000000
1988-10-01   288832000000
1989-01-01   290105000000
1989-04-01   292015000000
1989-07-01   292306000000
1989-10-01   292584000000
1990-01-01   294556000000
1990-04-01   296069000000
1990-07-01   292978000000
1990-10-01   291970000000
1991-01-01   291118000000
1991-04-01   290751000000
1991-07-01   290116000000
1991-10-01   290620000000
1992-01-01   290641000000
1992-04-01   290298000000
1992-07-01   292147000000
1992-10-01   294182000000
1993-01-01   296310000000
1993-04-01   297779000000
1993-07-01   300125000000
1993-10-01   302117000000
1994-01-01   305669000000
1994-04-01   309236000000
1994-07-01   312770000000
1994-10-01   314667000000
1995-01-01   316003000000
1995-04-01   317171000000
1995-07-01   320102000000
1995-10-01   320514000000
1996-01-01   323457000000
1996-04-01   324609000000
1996-07-01   327469000000
1996-10-01   329992000000
1997-01-01   334548000000
1997-04-01   337436000000
1997-07-01   339916000000
1997-10-01   343953000000
1998-01-01   346938000000
1998-04-01   349999000000
1998-07-01   352389000000
1998-10-01   355946000000
1999-01-01   358191000000
1999-04-01   358930000000
1999-07-01   365530000000
1999-10-01   370797000000
2000-01-01   373622000000
2000-04-01   375713000000
2000-07-01   376740000000
2000-10-01   377333000000
2001-01-01   382731000000
2001-04-01   385933000000
2001-07-01   389008000000
2001-10-01   390452000000
2002-01-01   392181000000
2002-04-01   394167000000
2002-07-01   397175000000
2002-10-01   400587000000
2003-01-01   403246000000
2003-04-01   407021000000
2003-07-01   411215000000
2003-10-01   414687000000
2004-01-01   416942000000
2004-04-01   418434000000
2004-07-01   419128000000
2004-10-01   420507000000
2005-01-01   424041000000
2005-04-01   429313000000
2005-07-01   434203000000
2005-10-01   440716000000
2006-01-01   442476000000
2006-04-01   443589000000
2006-07-01   444045000000
2006-10-01   446352000000
2007-01-01   450518000000
2007-04-01   453311000000
2007-07-01   456830000000
2007-10-01   458982000000
2008-01-01   461472000000
2008-04-01   458912000000
2008-07-01   451736000000
2008-10-01   442406000000
2009-01-01   434676000000
2009-04-01   433618000000
2009-07-01   433926000000
2009-10-01   435228000000
2010-01-01   438001000000
2010-04-01   442390000000
2010-07-01   445324000000
2010-10-01   445606000000
2011-01-01   448411000000
2011-04-01   448857000000
2011-07-01   450249000000
2011-10-01   451086000000
2012-01-01   453989000000
2012-04-01   453631000000
2012-07-01   459145000000
2012-10-01   458439000000
2013-01-01   461394000000
2013-04-01   463867000000
2013-07-01   468254000000
2013-10-01   470740000000
2014-01-01   473842000000
2014-04-01   476949000000
2014-07-01   479696000000
2014-10-01   482379000000
2015-01-01   484920000000
2015-04-01   488378000000
2015-07-01   490478000000
2015-10-01   494144000000
2016-01-01   494966000000
2016-04-01   497593000000
2016-07-01   499836000000
2016-10-01   503083000000
2017-01-01   505983000000
2017-04-01   507255000000
2017-07-01   508982000000
2017-10-01   511014000000
2018-01-01   511318000000
2018-04-01   514011000000
2018-07-01   517029000000
2018-10-01   518136000000
2019-01-01   521610000000
2019-04-01   520779000000
2019-07-01   523513000000
2019-10-01   523617000000
